,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,MerchantID,TransactionDuration,LoginAttempts
54,TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,M095,90,1
55,TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,M052,83,1
56,TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,D000462,M095,52,1
57,TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,D000311,M075,61,1
58,TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,M064,28,1
59,TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,D000089,M064,51,1
60,TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,D000233,M094,152,1
61,TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,M087,227,2
62,TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,D000516,M097,226,1
63,TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,D000548,M001,104,1
64,TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,D000461,M071,124,1
65,TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,D000098,M003,186,1
66,TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,D000435,M005,225,1
67,TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,D000305,M063,128,1
68,TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,D000128,M057,16,1
69,TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,D000684,M040,103,1
70,TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,M091,220,1
71,TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,D000410,M066,135,1
72,TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,D000180,M070,55,1
73,TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,D000295,M046,280,1
74,TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,D000231,M036,24,1
75,TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,D000073,M066,51,1
76,TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,M060,113,1
77,TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,M095,69,1
78,TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,D000561,M045,77,1
79,TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,M032,67,1
80,TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,D000488,M074,102,1
81,TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,D000097,M081,80,1
82,TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,D000206,M004,87,1
83,TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,D000616,M028,170,1
84,TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,D000494,M030,157,1
85,TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,D000574,M012,30,1
86,TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,D000428,M033,69,1
87,TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,D000018,M054,115,1
88,TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,D000453,M043,179,1
89,TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,M022,100,1
90,TX000091,AC00106,716.93,2023-09-14 16:49:33,Credit,Milwaukee,D000322,M052,34,1
91,TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,D000481,M009,55,4
92,TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,D000526,M049,135,1
93,TX000094,AC00373,442.12,2023-12-21 16:37:03,Debit,Los Angeles,D000645,M047,260,1
94,TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,D000178,M093,72,1
95,TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,M048,127,1
96,TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,D000019,M002,185,1
97,TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,D000192,M007,78,1
98,TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,D000093,M028,133,1
99,TX000100,AC00178,115.02,2023-09-11 16:19:04,Debit,San Antonio,D000528,M004,175,1
100,TX000101,AC00265,383.37,2023-01-24 17:23:56,Debit,Fort Worth,D000321,M066,24,1
101,TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,D000528,M095,167,1
102,TX000103,AC00075,83.24,2023-10-16 18:35:11,Credit,Fort Worth,D000607,M009,164,1
103,TX000104,AC00464,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,D000164,M099,146,1
104,TX000105,AC00170,129.94,2023-01-02 16:36:02,Debit,Las Vegas,D000647,M045,235,1
105,TX000106,AC00235,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,D000078,M047,51,1
106,TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,D000182,M032,80,1
107,TX000108,AC00397,756.59,2023-03-06 16:47:02,Debit,Sacramento,D000028,M012,17,1
108,TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,D000518,M083,35,1
109,TX000110,AC00154,143.03,2023-07-31 16:37:46,Debit,San Antonio,D000469,M055,147,1
110,TX000111,AC00068,1045.22,2023-11-22 16:13:39,Debit,Columbus,D000400,M077,73,1
111,TX000112,AC00318,245.54,2023-03-21 16:29:31,Debit,New York,D000536,M089,180,1
112,TX000113,AC00396,254.37,2023-04-20 18:26:50,Credit,Dallas,D000477,M012,174,1
113,TX000114,AC00121,213.76,2023-03-01 17:52:14,Credit,Dallas,D000574,M009,282,1
114,TX000115,AC00336,327.86,2023-02-10 16:52:48,Debit,Fresno,D000655,M051,104,1
115,TX000116,AC00468,2.5,2023-07-21 16:43:11,Debit,San Diego,D000673,M042,107,1
116,TX000117,AC00282,300.08,2023-10-09 17:02:43,Credit,Austin,D000266,M040,47,1
117,TX000118,AC00498,56.98,2024-01-01 16:34:10,Credit,Oklahoma City,D000256,M086,122,2
118,TX000119,AC00085,407.65,2023-07-07 16:11:38,Debit,Boston,D000544,M041,62,1
119,TX000120,AC00092,115.83,2023-05-22 17:09:52,Debit,Fresno,D000663,M086,167,1
120,TX000121,AC00295,53.57,2023-08-16 16:17:12,Debit,Houston,D000489,M025,121,1
121,TX000122,AC00358,63.34,2023-11-17 16:02:02,Credit,Detroit,D000434,M028,165,1
122,TX000123,AC00311,317.87,2023-05-22 17:29:35,Debit,Detroit,D000314,M076,91,1
123,TX000124,AC00066,331.65,2023-08-25 17:26:07,Debit,Portland,D000037,M006,61,1
124,TX000125,AC00340,5.04,2023-11-27 16:38:34,Debit,Washington,D000021,M001,41,1
125,TX000126,AC00284,214.54,2023-08-04 17:46:44,Credit,Detroit,D000112,M026,247,1
126,TX000127,AC00208,598.81,2023-09-04 16:48:35,Debit,Philadelphia,D000042,M081,158,1
127,TX000128,AC00176,841.28,2023-08-09 17:34:26,Debit,Tucson,D000276,M083,80,1
128,TX000129,AC00053,38.15,2023-09-07 16:07:40,Debit,Mesa,D000687,M005,108,1
129,TX000130,AC00320,1036.66,2023-07-11 16:39:53,Debit,San Antonio,D000015,M062,144,1
130,TX000131,AC00382,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,D000118,M004,105,1
131,TX000132,AC00384,302.45,2023-09-25 17:13:36,Credit,San Antonio,D000052,M059,40,1
132,TX000133,AC00203,208.04,2023-11-20 17:10:02,Debit,Louisville,D000339,M055,273,1
133,TX000134,AC00498,5.77,2023-11-17 17:27:07,Credit,Los Angeles,D000236,M098,254,1
134,TX000135,AC00349,381.33,2023-08-21 16:46:05,Debit,Albuquerque,D000635,M034,75,1
135,TX000136,AC00177,16.16,2023-10-16 16:59:36,Debit,Milwaukee,D000465,M065,124,1
136,TX000137,AC00284,486.08,2023-06-20 17:21:50,Debit,Oklahoma City,D000170,M060,68,1
137,TX000138,AC00272,336.39,2023-01-16 16:53:38,Debit,San Antonio,D000426,M003,18,1
138,TX000139,AC00405,997.43,2023-11-22 16:07:19,Debit,Seattle,D000661,M067,118,1
139,TX000140,AC00385,234.57,2023-09-01 16:09:08,Debit,Chicago,D000553,M045,120,1
140,TX000141,AC00403,6.0,2023-10-23 18:38:15,Debit,Chicago,D000556,M090,246,1
141,TX000142,AC00114,1049.92,2023-10-23 16:50:33,Debit,Detroit,D000522,M052,21,1
142,TX000143,AC00163,227.14,2023-07-03 17:42:08,Debit,Charlotte,D000439,M057,294,1
143,TX000144,AC00108,233.74,2023-10-24 16:41:00,Credit,Oklahoma City,D000600,M030,17,1
144,TX000145,AC00397,113.02,2023-09-25 16:54:22,Credit,Jacksonville,D000369,M019,166,1
145,TX000146,AC00434,45.85,2023-02-16 17:57:10,Debit,Los Angeles,D000241,M085,92,1
146,TX000147,AC00385,973.39,2023-08-30 17:23:20,Debit,Sacramento,D000292,M026,296,1
147,TX000148,AC00161,514.95,2023-04-13 18:37:48,Debit,New York,D000109,M056,142,5
148,TX000149,AC00333,415.5,2023-07-28 16:29:23,Debit,Memphis,D000330,M077,141,1
149,TX000150,AC00279,265.76,2023-02-06 17:48:55,Debit,Philadelphia,D000158,M049,92,1
150,TX000151,AC00072,69.4,2023-07-24 18:08:43,Debit,Virginia Beach,D000413,M073,113,1
151,TX000152,AC00242,332.93,2023-11-20 16:29:48,Credit,Albuquerque,D000548,M039,293,1
152,TX000153,AC00303,267.9,2023-10-09 16:52:47,Debit,San Antonio,D000605,M078,160,1
153,TX000154,AC00442,496.03,2023-11-03 16:45:52,Debit,San Francisco,D000070,M009,265,1
154,TX000155,AC00087,376.26,2023-02-15 16:41:11,Debit,Tucson,D000481,M081,245,1
155,TX000156,AC00174,83.02,2023-09-04 17:59:51,Credit,Seattle,D000226,M058,171,1
156,TX000157,AC00421,93.26,2023-07-27 16:22:52,Credit,New York,D000436,M092,72,1
157,TX000158,AC00111,803.37,2023-04-17 16:08:34,Credit,Memphis,D000108,M030,129,1
158,TX000159,AC00275,35.76,2023-09-19 17:38:18,Debit,Charlotte,D000678,M057,122,1
159,TX000160,AC00492,28.53,2023-05-31 16:37:39,Debit,Washington,D000310,M035,99,1
160,TX000161,AC00380,139.53,2023-10-09 17:20:09,Credit,Louisville,D000491,M002,177,1
161,TX000162,AC00227,307.57,2023-01-09 16:12:01,Debit,Detroit,D000076,M049,285,1
162,TX000163,AC00257,60.65,2023-05-26 18:15:08,Credit,Tucson,D000456,M085,53,1
163,TX000164,AC00062,74.86,2023-08-14 17:43:17,Debit,Nashville,D000115,M028,125,1
164,TX000165,AC00383,117.97,2023-11-24 18:51:32,Debit,Kansas City,D000281,M100,137,1
165,TX000166,AC00182,231.91,2023-01-31 18:31:22,Debit,Memphis,D000371,M044,165,1
166,TX000167,AC00478,126.21,2023-02-14 16:07:01,Debit,Baltimore,D000001,M001,268,1
167,TX000168,AC00332,506.28,2023-05-02 17:03:29,Credit,Chicago,D000606,M010,162,2
168,TX000169,AC00202,304.35,2023-12-04 17:07:34,Debit,Houston,D000281,M007,36,1
169,TX000170,AC00331,281.85,2023-05-16 17:26:37,Debit,Detroit,D000148,M013,109,1
170,TX000171,AC00474,777.88,2023-03-20 16:58:12,Debit,Houston,D000436,M018,17,1
171,TX000172,AC00268,119.18,2023-08-25 18:01:38,Debit,Los Angeles,D000309,M093,96,1
172,TX000173,AC00247,177.19,2023-05-15 17:25:28,Debit,Chicago,D000666,M088,43,1
173,TX000174,AC00298,260.88,2023-05-29 16:50:10,Debit,Denver,D000327,M094,36,1
174,TX000175,AC00106,169.47,2023-03-22 16:10:14,Debit,Chicago,D000061,M046,19,1
175,TX000176,AC00035,73.23,2023-05-19 16:52:53,Debit,Portland,D000059,M022,14,1
176,TX000177,AC00363,1362.55,2023-02-10 18:07:07,Debit,El Paso,D000213,M001,106,1
177,TX000178,AC00273,792.57,2023-05-22 16:22:36,Debit,Baltimore,D000424,M059,164,1
178,TX000179,AC00156,237.06,2023-12-18 16:47:17,Debit,Phoenix,D000455,M049,46,1
179,TX000180,AC00010,34.17,2023-11-21 16:57:43,Credit,Philadelphia,D000036,M091,54,1
180,TX000181,AC00036,740.25,2023-07-19 17:03:58,Debit,Philadelphia,D000030,M010,123,1
181,TX000182,AC00149,453.54,2023-04-19 16:36:03,Debit,Albuquerque,D000150,M017,82,1
182,TX000183,AC00225,300.47,2023-11-13 16:11:52,Debit,Jacksonville,D000272,M065,100,1
183,TX000184,AC00077,110.93,2023-04-07 16:38:15,Credit,Virginia Beach,D000142,M036,201,1
184,TX000185,AC00440,201.69,2023-01-03 16:46:36,Debit,Las Vegas,D000626,M019,299,1
185,TX000186,AC00321,399.21,2023-01-30 16:15:49,Debit,Portland,D000301,M062,109,1
186,TX000187,AC00099,1041.88,2023-09-06 16:44:02,Debit,Jacksonville,D000208,M032,57,1
187,TX000188,AC00258,630.36,2023-03-02 16:11:53,Debit,Mesa,D000091,M084,52,1
188,TX000189,AC00132,10.94,2023-10-23 17:24:07,Credit,Philadelphia,D000503,M083,245,1
189,TX000190,AC00113,215.9,2023-01-04 16:02:09,Debit,Los Angeles,D000414,M083,235,1
190,TX000191,AC00396,1422.55,2023-07-10 17:49:18,Debit,Washington,D000569,M072,165,1
191,TX000192,AC00099,226.37,2023-09-18 17:07:08,Credit,Louisville,D000631,M041,141,1
192,TX000193,AC00265,444.89,2023-09-11 16:27:39,Credit,Las Vegas,D000173,M060,101,1
193,TX000194,AC00047,280.57,2023-01-27 17:35:05,Credit,Virginia Beach,D000538,M017,24,1
194,TX000195,AC00005,488.54,2023-07-03 17:47:49,Debit,Jacksonville,D000466,M036,132,1
195,TX000196,AC00363,3.3,2023-03-27 16:42:16,Credit,Los Angeles,D000215,M085,131,1
196,TX000197,AC00426,199.39,2023-08-21 16:16:22,Debit,Colorado Springs,D000304,M023,165,1
197,TX000198,AC00107,20.36,2023-07-24 17:02:18,Debit,Tucson,D000082,M069,75,1
198,TX000199,AC00237,113.64,2023-10-24 17:09:41,Debit,Detroit,D000022,M038,32,1
199,TX000200,AC00358,493.11,2023-07-31 16:25:26,Debit,Colorado Springs,D000232,M022,236,1
200,TX000201,AC00113,307.41,2023-06-12 17:32:52,Debit,Los Angeles,D000014,M007,14,1
201,TX000202,AC00010,11.18,2023-11-30 16:52:42,Debit,Atlanta,D000129,M017,161,1
202,TX000203,AC00499,313.82,2023-11-15 18:57:38,Debit,Tucson,D000357,M097,151,1
203,TX000204,AC00380,51.0,2023-01-30 16:00:38,Debit,Seattle,D000199,M063,107,1
204,TX000205,AC00452,140.98,2023-05-25 16:34:22,Debit,Memphis,D000374,M059,100,1
205,TX000206,AC00020,288.04,2023-08-24 16:47:21,Debit,Denver,D000582,M092,63,1
206,TX000207,AC00181,800.55,2023-05-04 16:21:31,Debit,Oklahoma City,D000657,M062,108,1
207,TX000208,AC00370,485.54,2023-02-06 17:46:59,Debit,Houston,D000589,M061,143,1
208,TX000209,AC00453,521.15,2023-02-17 18:16:05,Debit,Kansas City,D000108,M084,214,1
209,TX000210,AC00339,321.79,2023-08-07 17:30:33,Credit,Raleigh,D000537,M056,61,1
210,TX000211,AC00249,304.93,2023-02-24 16:23:22,Debit,Portland,D000700,M098,158,1
211,TX000212,AC00479,432.08,2023-07-31 16:04:55,Debit,El Paso,D000073,M044,145,1
212,TX000213,AC00301,694.2,2023-12-07 16:20:08,Debit,Milwaukee,D000007,M035,72,1
213,TX000214,AC00380,116.86,2023-03-20 18:28:48,Debit,Louisville,D000531,M088,171,1
214,TX000215,AC00130,386.81,2023-03-03 18:02:52,Credit,Detroit,D000248,M039,149,1
215,TX000216,AC00006,74.88,2023-05-24 16:25:50,Debit,Atlanta,D000139,M026,202,1
216,TX000217,AC00096,195.76,2023-05-22 16:17:19,Debit,Philadelphia,D000517,M056,99,1
217,TX000218,AC00108,134.7,2023-08-21 16:03:18,Debit,Fort Worth,D000637,M074,106,1
218,TX000219,AC00070,890.24,2023-07-07 18:03:43,Credit,Las Vegas,D000223,M029,161,1
219,TX000220,AC00417,361.27,2023-01-06 17:01:53,Debit,Omaha,D000676,M088,180,1
220,TX000221,AC00391,131.56,2023-10-19 16:42:37,Debit,Charlotte,D000203,M014,42,1
221,TX000222,AC00414,485.51,2023-11-28 16:49:27,Credit,Milwaukee,D000460,M097,37,1
222,TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,M064,131,1
223,TX000224,AC00047,457.3,2023-06-26 18:25:21,Debit,Virginia Beach,D000214,M042,15,1
224,TX000225,AC00198,506.24,2023-01-13 16:44:26,Debit,Chicago,D000315,M077,64,1
225,TX000226,AC00314,486.59,2023-12-19 16:55:17,Debit,Indianapolis,D000029,M017,119,1
226,TX000227,AC00212,163.68,2023-09-28 16:20:57,Debit,San Diego,D000440,M087,292,1
227,TX000228,AC00115,581.65,2023-01-09 16:54:58,Debit,Boston,D000666,M009,176,1
228,TX000229,AC00055,52.01,2023-11-07 16:46:04,Debit,Mesa,D000652,M019,85,1
229,TX000230,AC00427,630.24,2023-11-29 18:10:30,Debit,Boston,D000548,M054,62,1
230,TX000231,AC00401,523.74,2023-11-02 16:36:37,Debit,Oklahoma City,D000551,M099,159,1
231,TX000232,AC00430,705.6,2023-02-20 18:41:43,Debit,Phoenix,D000103,M071,124,3
232,TX000233,AC00299,217.5,2023-10-23 18:54:48,Credit,Denver,D000485,M043,35,1
233,TX000234,AC00345,91.48,2023-01-23 16:50:31,Debit,Fort Worth,D000295,M081,141,1
234,TX000235,AC00430,5.25,2023-11-13 18:26:24,Debit,San Jose,D000571,M010,49,1
235,TX000236,AC00175,54.03,2023-09-19 17:16:46,Credit,Milwaukee,D000519,M087,161,1
236,TX000237,AC00177,736.73,2023-11-27 16:05:27,Debit,Memphis,D000167,M037,10,1
237,TX000238,AC00225,368.91,2023-03-10 17:49:57,Debit,Virginia Beach,D000221,M082,14,1
238,TX000239,AC00394,33.06,2023-01-17 16:03:41,Credit,Fort Worth,D000417,M045,170,1
239,TX000240,AC00026,66.5,2023-05-04 16:44:56,Credit,Louisville,D000419,M098,144,1
240,TX000241,AC00076,177.08,2023-01-06 17:16:44,Debit,Las Vegas,D000450,M014,85,1
241,TX000242,AC00215,588.54,2023-02-06 17:57:28,Debit,Portland,D000609,M031,130,1
242,TX000243,AC00202,173.5,2023-10-23 17:16:20,Debit,Nashville,D000235,M052,282,1
243,TX000244,AC00400,78.33,2023-07-31 16:13:12,Credit,Memphis,D000191,M069,189,1
244,TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,M061,156,1
245,TX000246,AC00260,97.22,2023-02-20 17:30:19,Credit,Atlanta,D000507,M063,55,1
246,TX000247,AC00415,34.07,2023-11-06 17:22:58,Debit,Philadelphia,D000158,M080,81,1
247,TX000248,AC00337,492.06,2023-10-19 16:14:15,Debit,Fresno,D000411,M012,74,1
248,TX000249,AC00253,842.01,2023-09-12 16:43:27,Credit,Virginia Beach,D000209,M015,185,1
249,TX000250,AC00126,73.55,2023-01-09 16:09:48,Debit,Atlanta,D000210,M086,158,1
250,TX000251,AC00304,760.53,2023-09-04 18:13:25,Debit,Phoenix,D000651,M005,118,1
251,TX000252,AC00470,273.08,2023-01-30 16:09:08,Credit,Houston,D000534,M007,134,1
252,TX000253,AC00041,371.69,2023-12-22 16:27:49,Debit,San Francisco,D000374,M020,143,1
253,TX000254,AC00442,218.96,2023-08-30 16:11:47,Debit,Seattle,D000556,M021,13,1
254,TX000255,AC00430,227.39,2023-12-25 16:58:19,Debit,Atlanta,D000207,M010,65,1
255,TX000256,AC00258,237.99,2023-05-08 16:45:11,Credit,Kansas City,D000563,M043,86,1
256,TX000257,AC00073,186.6,2023-07-04 16:27:23,Debit,Washington,D000149,M037,13,1
257,TX000258,AC00430,341.15,2023-02-13 17:18:15,Debit,San Jose,D000453,M042,148,1
258,TX000259,AC00363,434.58,2023-09-06 16:28:38,Debit,Memphis,D000136,M091,215,1
259,TX000260,AC00307,312.88,2023-05-26 18:12:50,Credit,Portland,D000503,M040,44,1
260,TX000261,AC00085,75.15,2023-09-18 17:31:23,Debit,Boston,D000014,M094,154,1
261,TX000262,AC00448,23.3,2023-08-14 18:13:38,Debit,Los Angeles,D000385,M061,161,1
262,TX000263,AC00194,47.38,2023-02-08 18:18:07,Credit,Seattle,D000388,M061,61,1
263,TX000264,AC00319,512.81,2023-07-19 16:57:01,Debit,Sacramento,D000611,M004,30,1
264,TX000265,AC00366,488.15,2023-07-31 16:01:00,Debit,Louisville,D000257,M098,168,1
265,TX000266,AC00338,12.82,2023-04-05 18:37:10,Debit,Fort Worth,D000482,M055,156,1
266,TX000267,AC00178,66.9,2023-04-17 16:50:45,Credit,Charlotte,D000221,M021,129,4
267,TX000268,AC00424,535.91,2023-07-07 16:38:12,Debit,Las Vegas,D000583,M097,22,1
268,TX000269,AC00147,270.72,2023-07-03 18:01:00,Credit,Washington,D000508,M094,53,1
269,TX000270,AC00171,97.98,2023-02-06 16:09:48,Debit,Denver,D000470,M033,18,1
270,TX000271,AC00023,196.08,2023-08-25 16:52:28,Debit,San Francisco,D000623,M088,98,1
271,TX000272,AC00263,251.18,2023-06-01 16:51:11,Debit,San Jose,D000056,M058,246,1
272,TX000273,AC00423,44.52,2023-03-28 18:30:25,Debit,El Paso,D000618,M081,205,1
273,TX000274,AC00455,178.87,2023-05-23 16:03:54,Debit,Baltimore,D000663,M001,180,1
274,TX000275,AC00454,1176.28,2023-12-20 16:08:02,Credit,Kansas City,D000476,M074,174,5
275,TX000276,AC00055,386.68,2023-10-31 16:48:01,Debit,New York,D000453,M019,128,1
276,TX000277,AC00403,167.14,2023-04-24 18:33:29,Debit,Denver,D000231,M049,20,1
277,TX000278,AC00220,345.22,2023-09-05 16:55:47,Debit,Fresno,D000217,M025,253,1
278,TX000279,AC00009,74.85,2023-12-25 17:19:08,Debit,Raleigh,D000526,M091,117,1
